자체상품코드,상품명,영문상품명,카테고리번호,판매가,할인판매가,간략설명,상품상세설명,진열상태
"AN-BT-001","에이븐 테일러드 슬랙스","Aven Tailored Slacks","28","109000","95000","편안한 착용감과 정돈된 라인을 함께 담은 세미 와이드 슬랙스.","하루 종일 입어도 부담 없고, 어떤 상의와도 쉽게 이어지는 팬츠를 만들고 싶었습니다.

허리부터 힙까지는 안정적으로 잡고, 밑단으로 갈수록 자연스럽게 떨어집니다.

구김이 과하지 않고 탄성이 더해진 혼방 소재를 사용했습니다.

재킷과 셋업으로, 니트와 함께 데일리 팬츠로 활용해 보세요.","Y"
"AN-BT-002","레아 와이드 팬츠","Rhea Wide Pants","28","98000","89000","움직임에 따라 부드럽게 흐르는 와이드 실루엣 팬츠.","정돈된 인상은 유지하면서도, 움직임이 편안한 와이드 팬츠를 제안합니다.

허리는 안정적으로 잡고 다리는 여유 있게 떨어지는 와이드 핏입니다.

차분한 표면감과 유연한 드레이프를 가진 소재를 사용했습니다.

슬림 니트나 셔츠와 매치하면 균형감 있는 실루엣을 연출할 수 있습니다.","Y"
"AN-BT-003","멜로 미디 스커트","Melo Midi Skirt","28","89000","79000","절제된 H라인으로 완성한 데일리 미디 스커트.","움직임은 편안하게, 실루엣은 정돈되게. 매일 다른 상의와 조합하기 좋은 미디 스커트입니다.

허리와 힙은 깔끔하게 잡고, 밑단은 답답하지 않도록 여유를 두었습니다.

탄탄하면서도 가벼운 혼방 소재를 사용해 시즌 활용도를 높였습니다.

블라우스와 함께 여성스럽게, 니트와 함께 담백하게 연출할 수 있습니다.","Y"
"AN-BT-004","넬라 플리츠 스커트","Nella Pleated Skirt","28","119000","99000","은은한 주름과 긴 길이감이 돋보이는 플리츠 스커트.","움직일 때마다 가볍게 흐르는 주름이 일상적인 룩에도 작은 리듬을 더합니다.

허리는 안정감 있게 잡고, 밑단으로 갈수록 자연스럽게 퍼지는 실루엣입니다.

무게감이 과하지 않은 플리츠 원단으로 편안하게 착용할 수 있습니다.

얇은 니트와 함께 부드럽게, 재킷과 함께 조금 더 정돈된 무드로 입어 보세요.","Y"
"AN-BT-005","소라 스트레이트 데님","Sora Straight Denim","28","85000","75000","과하지 않은 워싱과 곧게 떨어지는 라인이 돋보이는 스트레이트 데님.","유행을 크게 타지 않는 데님 한 벌은 어떤 옷장에도 오래 남습니다.

허리와 힙은 안정적으로 잡고, 다리는 자연스럽게 곧게 떨어집니다.

탄성이 과하지 않은 코튼 데님 소재로 형태감을 살렸습니다.

셔츠, 니트, 재킷 어디에나 자연스럽게 어울리는 기본 데님입니다.","Y"
"AN-DR-001","엘로웬 슬립 드레스","Elowen Slip Dress","27","129000","109000","가볍게 흐르는 실루엣으로 완성한 미니멀 슬립 드레스.","과한 장식 없이 소재와 실루엣만으로 충분한 인상을 남기는 드레스입니다.

몸을 따라 부드럽게 흐르며, 옆선에 여유를 두어 편안하게 착용할 수 있습니다.

은은한 광택과 유연한 터치감이 느껴지는 소재입니다.

단독으로 미니멀하게, 재킷이나 가디건과 함께 계절에 맞게 레이어드해 보세요.","Y"
"AN-DR-002","마렌 벨트 드레스","Maren Belt Dress","27","149000","129000","허리 벨트로 자연스러운 실루엣을 완성하는 셔츠 드레스.","한 벌만으로도 충분히 정돈돼 보이지만, 과하게 힘주지 않은 셔츠 드레스입니다.

여유 있는 몸판과 조절 가능한 벨트로 다양한 실루엣 연출이 가능합니다.

매트한 질감의 혼방 소재로 계절감 있게 완성했습니다.

부츠와 함께 계절감 있게, 플랫 슈즈와 함께 가볍게 연출해 보세요.","Y"
"AN-DR-003","아리엘 니트 드레스","Arielle Knit Dress","27","119000","99000","편안한 니트 감촉과 깔끔한 세로 라인이 조화로운 롱 드레스.","가볍게 입어도 단정한 인상을 남길 수 있도록, 실루엣과 길이감을 정교하게 잡았습니다.

몸에 과하게 붙지 않고 세로로 자연스럽게 떨어지는 스트레이트 핏입니다.

신축성과 복원력이 좋은 니트 소재로 편안하게 착용할 수 있습니다.

코트 안 이너로 활용하거나, 가디건과 함께 부드러운 레이어드 룩을 연출해 보세요.","Y"
"AN-DR-004","린 롱슬리브 드레스","Rin Long Sleeve Dress","27","139000","119000","여유 있는 소매와 차분한 컬러가 돋보이는 롱 드레스.","특별한 장면보다도 평범한 날에 더 자주 입게 되는 드레스를 생각했습니다.

허리는 자연스럽게 정리되고 스커트는 편안하게 흐르는 실루엣입니다.

가볍고 부드러운 텍스처의 혼방 원단을 사용했습니다.

단독으로 입거나, 얇은 재킷과 함께 계절 사이에 활용하기 좋습니다.","Y"
"AN-AC-001","에덴 데일리 백","Eden Daily Bag","29","129000","109000","단정한 형태와 넉넉한 수납이 조화로운 데일리 토트백.","일상에서 가장 자주 들게 되는 가방은 화려함보다 균형이 중요하다고 생각했습니다.

노트북과 소지품을 함께 담기 좋은 여유 있는 수납 구조입니다.

매트한 질감의 비건 레더 소재로 차분한 인상을 더했습니다.

출근 룩부터 주말 외출까지 다양한 스타일에 자연스럽게 어울립니다.","Y"
"AN-AC-002","노라 숄더백","Nora Shoulder Bag","29","119000","99000","부드러운 곡선과 간결한 구조가 돋보이는 미니 숄더백.","작지만 필요한 것들은 충분히 담을 수 있도록, 일상적인 비율을 고민한 숄더백입니다.

어깨에 자연스럽게 밀착되는 짧은 스트랩 길이입니다.

은은한 광택의 레더 질감으로 계절 구분 없이 활용하기 좋습니다.

원피스와 함께 여성스럽게, 재킷과 함께 모던하게 연출해 보세요.","Y"
"AN-AC-003","마일로 로퍼","Milo Loafer","29","149000","129000","어떤 룩에도 안정적으로 어울리는 클래식 페니 로퍼.","매일 다른 옷과 함께해도 쉽게 질리지 않는, 가장 단정한 형태의 로퍼입니다.

발등을 안정적으로 감싸는 기본 라스트로 제작했습니다.

유연한 합성 레더와 쿠션 인솔을 적용해 착용감을 높였습니다.

슬랙스와 함께 단정하게, 스커트와 함께 클래식한 무드로 완성해 보세요.","Y"
"AN-AC-004","아벨린 힐","Aveline Heel","29","159000","139000","낮은 굽과 슬림한 앞코로 완성한 데일리 미들 힐.","특별한 날뿐 아니라 일상에서도 오래 신을 수 있는 균형을 고민한 슈즈입니다.

발볼을 과하게 조이지 않는 스퀘어 토 실루엣입니다.

매트한 레더 질감과 안정적인 미들 힐 구조를 적용했습니다.

슬랙스, 스커트, 원피스와 함께 여성스럽고 차분한 마무리를 더해 보세요.","Y"
